ESTACION,LATITUD,LONGITUD
PUQUINA,-16.62978,-71.18476
QUINISTAQUILLAS,-16.74971,-70.87858
UBINAS,-16.3888,-70.8541
PUNTA COLES,-17.69862,-71.37331
ILO,-17.62381,-71.27188
CERRO DE PASCO,-10.69341,-76.26421
YANAHUANCA,-10.4896,-76.5129
OXAPAMPA,-10.5642,-75.4184
SAN MIGUEL,-5.2462,-80.68436
PARTIDOR,-4.73197,-80.27982
AYABACA,-4.63776,-79.71077
ALTO DE POCLUS,-4.9169,-79.89047
SAPILLICA,-4.77817,-79.98178
HUANCABAMBA,-5.24681,-79.45399
SALALA,-5.11153,-79.46349
HUARMACA,-5.56479,-79.51975
SONDORILLO,-5.3398,-79.43137
CHULUCANAS,-5.10843,-80.16956
CHALACO,-5.03865,-79.79168
EL VIRREY,-5.5337,-79.98233
SAN PEDRO,-5.07954,-80.01621
SAN PEDRO,-5.0796,-80.01624
MORROPON,-5.19465,-79.97107
MALACASI,-5.33977,-79.85794
SANTO DOMINGO,-5.03825,-79.87049
LA ESPERANZA,-4.92114,-81.05969
LANCONES,-4.64288,-80.54717
MALLARES,-4.85574,-80.73556
EL ALTO,-4.26198,-81.21815
CHUSIS,-5.52756,-80.81275
BERNAL,-5.4545,-80.74262
PUNO,-15.82625,-70.01208
LOS UROS,-15.82039,-69.97413
RINCON DE LA CRUZ,-15.99017,-69.80961
ISLA TAQUILE,-15.77019,-69.69107
CAPACHICA,-15.61344,-69.84222
MAÑAZO,-15.79944,-70.33949
LARAQUERI,-16.13599,-70.04587
AZANGARO,-14.9172,-70.19046
PUENTE  AZANGARO,-14.91975,-70.18936
ARAPA,-15.1786,-70.109
MUÑANI,-14.76694,-69.95181
MACUSANI,-14.06674,-70.42205
CRUCERO,-14.36419,-70.02592
SAN GABAN,-13.4609,-70.41
JULI,-16.20378,-69.45992
PUENTE INTERNACIONAL DESAGUADERO,-16.5638,-69.0363
PUENTE YOROHOCO CALLACAME,-16.57065,-69.32278
PIZACOMA,-16.9043,-69.3695
ZAPATILLA,-16.1386,-69.5787
PUENTE ILAVE,-16.0882,-69.6317
ILAVE,-16.05994,-69.64039
MAZO CRUZ,-16.73888,-69.71544
HUANCANE,-15.20687,-69.7583
PUENTE CARRETERA HUANCANE,-15.21588,-69.79262
PUENTE CARRETERA RAMIS,-15.2553,-69.8738
LAMPA,-15.36109,-70.37415
PAMPAHUTA,-15.4837,-70.676
PUCARA,-15.04567,-70.36663
RIO VERDE,-15.68427,-70.60002
CRUCERO ALTO,-15.7643,-70.9113
AYAVIRI,-14.8688,-70.5916
LLALLY,-14.95286,-70.88052
HUARAYA MOHO,-15.3881,-69.4842
PUTINA,-14.921,-69.8757
ANANEA,-14.6763,-69.5339
PUENTE UNOCOLLA COATA,-15.45085,-70.19133
CABANILLAS,-15.63911,-70.34661
MOYOBAMBA,-6.04481,-76.96822
JEPELACIO,-6.11275,-76.90761
SORITOR,-6.142,-77.09179
BELLAVISTA,-7.05517,-76.55836
SAN PABLO,-6.80956,-76.57625
ALAO,-6.517,-76.73806
SAPOSOA,-6.94313,-76.76823
LAMAS,-6.41874,-76.52794
PONGO DE CAYNARACHI,-6.33047,-76.28175
TABALOSOS,-6.39533,-76.62533
HUAYABAMBA,-7.26871,-76.73701
PACHIZA,-7.29322,-76.77092
PICOTA,-6.91949,-76.3272
PILLUANA,-6.77631,-76.29056
SHAMBOYACU,-7.0223,-76.12911
SHAMBOYACU,-7.02302,-76.12952
TINGO DE PONAZA,-6.93722,-76.25267
RIOJA,-6.04728,-77.17197
TARAPOTO,-6.47597,-76.37039
CHAZUTA,-6.57119,-76.1315
EL PORVENIR,-6.58903,-76.31825
PUENTE TOCACHE,-8.18475,-76.50789
TANANTA,-8.11524,-76.58049
JORGE BASADRE,-18.02689,-70.25153
CALANA,-17.97458,-70.1932
CORUCA,-17.63312,-70.45456
SAMA GRANDE,-17.78758,-70.48962
CALIENTES,-17.884,-70.1425
PALCA,-17.77795,-69.95864
CANDARAVE,-17.26776,-70.25537
LOCUMBA,-17.6179,-70.761
ILABAYA,-17.41783,-70.51281
ITE,-17.86008,-70.95169
TARATA,-17.47935,-70.03663
SUSAPAYA,-17.34771,-70.13472
PUERTO PIZARRO,-3.5038,-80.39504
LA CRUZ,-3.62829,-80.56927
EL TIGRE,-3.76848,-80.45685
RICA PLAYA,-3.8119,-80.50546
CAÑAVERAL,-3.9391,-80.65058
PAPAYAL,-3.56732,-80.23324
AGUAYTIA,-9.04225,-75.50624
PUENTE AGUAYTIA,-9.03738,-75.50449
SAN ALEJANDRO,-8.83444,-75.21639
SAN ALEJANDRO,-8.83091,-75.21281
RIO GRANDE,-14.52648,-75.21306
